region code,id,title,category,views,comments,duration
CA,crGbURdPRsc,We Played a YouTuber Simulator,Gaming,1396608,1447,23m 51s
CA,amHIb5BL6gE,I Cheated With SCARY CAMERA In Build Battle...,Gaming,369598,292,23m 46s
CA,6VChofV3d0E,Helldivers 2 Review | TRIPLE THE DEFENSE BUDGET | Starship Bloopers,Gaming,993015,3449,15m 15s
CA,fPAeRGBDrBM,DRIVING MARCUS RASHFORDS WRECKED ROLLS ROYCE FOR THE FIRST TIME,Autos & Vehicles,3243414,5151,36m 9s
CA,xamGwv3zPCU,"Julian Newman, D’Aydrian, Paul Pierce vs Josh Richards, Cash Nasty, Demarcus Cousins!",Sports,158644,780,16m 55s
CA,fampr-iP_y4,Final Shape: Prismatic Subclasses. 2 Exotics at once. New enemy types. They actually cooked.,Gaming,261647,1178,20m 51s
CA,yvB5gQVyVtI,Detailed Look! All New 2025 6th Gen Toyota 4Runner TRD Pro!,Autos & Vehicles,125919,811,14m 31s
CA,F_HOrMmWoMA,"The ""Artificial Intelligence"" Rice Cooker.",Science & Technology,315506,1689,9m 12s
CA,3qSm4fmEQFA,ASMR Scratching Your Back Until You Sleep,Entertainment,252941,584,26m 7s
CA,Snz_0-NC_Bo,Surprising Zach With a Giant Shrek Cake,Comedy,447979,1206,21m 9s
CA,8xhehywx29k,J. Cole Apologized,Music,459541,3579,8m 45s
CA,KUT2IstU7Ig,Gift Swap Challenge at Five Below! - Merrell Twins,Comedy,195425,392,22m 3s
CA,UJHejXUP4io,I Played My FIRST EVER Professional Game! (Project NFL Ep. 8),Entertainment,1069145,1715,18m 12s
